name,url,keywords
Gyakuhanmi Nikyo Jo No Tebiki,https://www.youtube.com/watch?v=9-mFKaz4brI,2nd Dan;Gyakuhanmi;Jo no Tebiki;John Bollinger;Katatedori;Nikyo;Tachi Waza;Ura
Gyakuhanmi Kotegaeshi Ura,https://www.youtube.com/watch?v=1fUUGz_c7pY,Gyakuhanmi;Jo no Tebiki;Jodan;John Bollinger;Katatedori;Kotegaeshi;Miscellaneous;Tachi Waza;Ura
Aihanmi Kotegaeshi,https://www.youtube.com/watch?v=7ncjx5TOrz0,Aihanmi;Jo no Tebiki;Jodan;John Bollinger;Katatedori;Kotegaeshi;Miscellaneous;Tachi Waza;Ura
Tsuki Iriminage,https://www.youtube.com/watch?v=GAKUigeVS5U,Gyakuhanmi;Iriminage;Jo no Tebiki;Jodan;John Bollinger;Miscellaneous;Omote;Tachi Waza;Tsuki
Gyakuhanmi Shihonage Omote,https://www.youtube.com/watch?v=km8KK3fXCig,2nd Kyu;Aiki Toho;Gyakuhanmi;John Bollinger;Katatedori;Omote;Shihonage;Supplemental
Sayugiri,https://www.youtube.com/watch?v=wqJz-nrijsM,3rd Kyu;Aiki Toho;Gyakuhanmi;Jodan;John Bollinger;Kata 5;Katatedori;Omote;Shihonage
Aihanmi Shihonage Ura,https://www.youtube.com/watch?v=0uLdbi_MeH0,3rd Kyu;Aihanmi;Aiki Toho;Chudan;John Bollinger;Katatedori;Shihonage;Supplemental;Ura
Aihanmi Shihonage Omote,https://www.youtube.com/watch?v=FanKFa2dM0Y,3rd Kyu;Aihanmi;Aiki Toho;Jodan;John Bollinger;Katatedori;Omote;Shihonage;Supplemental
Zengogiri,https://www.youtube.com/watch?v=YexhB-O6SRs,4th Kyu;Aihanmi;Aiki Toho;Jodan;John Bollinger;Kata 4;Katatedori;Omote;Shihonage
Gyakuhanmi Sankyo,https://www.youtube.com/watch?v=fa80hZrjzZI,2nd Kyu;Aiki Toho;Gyakuhanmi;John Bollinger;Katatedori;Sankyo;Supplemental
Kawashitsuki,https://www.youtube.com/watch?v=i08eHlkxnjE,2nd Kyu;Aihanmi;Aiki Toho;John Bollinger;Kata 8;Sankyo;Tsuki
Tsukaosae,https://www.youtube.com/watch?v=Hx5dqXi7tlc,3rd Kyu;Aiki Toho;Chudan;Gyakuhanmi;John Bollinger;Kata 6;Katatedori;Nikyo;Ura
Zempo Gaidan Kushushi Nikyo,https://www.youtube.com/watch?v=NrmhMKrmQFE,3rd Kyu;Aiki Toho;Gyakuhanmi;John Bollinger;Nikyo;Supplemental;Ura;Zempo Gedan Kushushi
Zempo Gaidan Kushushi Nikyo (Level 2),https://www.youtube.com/watch?v=R2jcL_BlKnw,3rd Kyu;Aiki Toho;Gyakuhanmi;John Bollinger;Katatedori;Nikyo;Supplemental;Ura;Zempo Gedan Kushushi
Tekubiosae,https://www.youtube.com/watch?v=faVfzKBCSfA,3rd Kyu;Aihanmi;Aiki Toho;Chudan;John Bollinger;Kata 7;Katatedori;Nikyo;Ura
Tekubiosae Iaijutsu Variation,https://www.youtube.com/watch?v=38HIKUQxuL4,3rd Kyu;Aihanmi;Aiki Toho;Chudan;John Bollinger;Katatedori;Nikyo;Supplemental;Ura
Aihanmi Kiriage Nikyo Ura,https://www.youtube.com/watch?v=RUP04MdJhMI,3rd Kyu;Aihanmi;Aiki Toho;Chudan;John Bollinger;Katatedori;Nikyo;Supplemental;Ura
Yokomenuchi Kotegaeshi,https://www.youtube.com/watch?v=Owwddx3uOs0,4th Kyu;Aiki Toho;Gyakuhanmi;Jodan;John Bollinger;Kotegaeshi;Supplemental;Ura;Yokomenuchi
Tsukekomi,https://www.youtube.com/watch?v=PoEZia4UN4E,2nd Kyu;Aihanmi;Aiki Toho;Jodan;John Bollinger;Kata 9;Kotegaeshi;Shomenuchi
Aihanmi Shomenuchi Kotegaeshi Ura,https://www.youtube.com/watch?v=xRlJTBmTryY,4th Kyu;Aihanmi;Aiki Toho;Jodan;John Bollinger;Kotegaeshi;Shomenuchi;Supplemental;Ura
Ushirogiri,https://www.youtube.com/watch?v=UyxKnC0S-VA,5th Kyu;Aiki Toho;Gyakuhanmi;John Bollinger;Kaitennage;Kata 3;Katatedori;Omote
Gyakuhanmi Iriminage,https://www.youtube.com/watch?v=NPUiwl8lrGI,2nd Kyu;Aiki Toho;Gyakuhanmi;Iriminage;John Bollinger;Katatedori;L2 (Iaido);Supplemental
Tsume,https://www.youtube.com/watch?v=R8ldLZNXV3U,2nd Kyu;Aihanmi;Aiki Toho;Iriminage;John Bollinger;Kata 10;Shomenuchi
Aihanmi Iriminage,https://www.youtube.com/watch?v=deoypfyQx3Q,2nd Kyu;Aihanmi;Aiki Toho;Iriminage;John Bollinger;Katatedori;L2 (Iaido);Supplemental
Gyakuhanmi Katatedori Ikkyo Ura Classic,https://www.youtube.com/watch?v=0nWurCv-6_U,4th Kyu;Aiki Toho;Gyakuhanmi;Ikkyo;John Bollinger;Katatedori;Supplemental;Ura
Gyakuhanmi Katatedori Ikkyo Ura,https://www.youtube.com/watch?v=pa8pavmJ7S0,4th Kyu;Aiki Toho;Gyakuhanmi;Ikkyo;John Bollinger;Katatedori;Supplemental;Ura
Gyakuhanmi Katatedori Ikkyo Ura (Discussion),https://www.youtube.com/watch?v=7pc89AZ18mw,4th Kyu;Aiki Toho;Gyakuhanmi;Ikkyo;John Bollinger;Katatedori;Supplemental;Ura
Gyakuhanmi Ikkyo Omote,https://www.youtube.com/watch?v=FbJ21Fuz_wg,4th Kyu;Aiki Toho;Gyakuhanmi;Ikkyo;John Bollinger;Katatedori;Omote;Supplemental
Aihanmi Ikkyo Ura - L2,https://www.youtube.com/watch?v=tEx_Zi61QmA,2nd Kyu;Aihanmi;Aiki Toho;Ikkyo;John Bollinger;Katatedori;Supplemental;Ura
Kiriage,https://www.youtube.com/watch?v=ABe5mXrWvJg,5th Kyu;Aihanmi;Aiki Toho;Ikkyo;Jodan;John Bollinger;Omote;Shomenuchi;Supplemental
Kiriage,https://www.youtube.com/watch?v=8j42pvdMEvU,5th Kyu;Aihanmi;Aiki Toho;Ikkyo;John Bollinger;Omote;Shomenuchi;Supplemental
Ai Hanmi Kata Dori Ikkyo Omote Variation,https://www.youtube.com/watch?v=n52w3Oc36Sk,5th Kyu;Aihanmi;Aiki Toho;Chudan;Ikkyo;John Bollinger;Katatedori;Omote;Supplemental
Ukenagashi,https://www.youtube.com/watch?v=bwYeN-OrFuU,5th Kyu;Aihanmi;Aiki Toho;Chudan;Ikkyo;John Bollinger;Kata 2;Katatedori;Omote
Tomesuemono,https://www.youtube.com/watch?v=CV-H66O3wEY,4th Kyu;Aiki Toho;Iaido Only;John Bollinger;Kata 15
Tomesuemono (Discussion),https://www.youtube.com/watch?v=kFkegO6JPvg,4th Kyu;Aiki Toho;Iaido Only;John Bollinger;Kata 15
Shohatto Magegiri (First Cut Discussion),https://www.youtube.com/watch?v=ryD7Nk9nR8Q,5th Kyu;Aiki Toho;Iaido Only;John Bollinger;Kata 1
Tomesuemono,https://www.youtube.com/watch?v=krwUoWyKtRk,4th Kyu;Aiki Toho;Iaido Only;John Bollinger;Kata 15
Variation to Kata 3,https://www.youtube.com/watch?v=tPfAGrzrxo8,5th Kyu;Aiki Toho;Iaido Only;John Bollinger;Supplemental
Shohatto Maegiri,https://www.youtube.com/watch?v=lYLsqOANqZ4,5th Kyu;Aiki Toho;Iaido Only;John Bollinger;Kata 1
